,TMAX,TMIN,TAVG,TGRD,TWB,WDSP,WDDT,RH,MSLP,PRCP,VSB,RSD,SD
2011-01-01,0.5,-6.7,-1.6,-10.3,-1.2,7,223.2,84.4,1015.1,0,9.4,0.5062,12
2011-01-02,1.5,-6,-1.5,-10.6,-1.8,2.6,218.3,80.6,1016.3,0.4,9.1,0.2222,11
2011-01-03,-1.2,-8,-4.6,-13,-2.9,2,202.6,92.4,1021.2,0.1,3.9,0.0000,12
2011-01-04,-2.9,-16.1,-7.9,-17.4,-5.3,1.5,155.8,89.1,1023.5,0,4.2,0.4321,12
2011-01-05,-3.0,-9.2,-4.2,-12.7,-4.8,6.9,208.6,75.8,1021.5,0,10.6,0.0244,12
2011-01-06,2.6,-6.3,-1,-7.3,0.1,9.5,213.2,75.6,1014.6,0.1,10.1,0.1463,10
2011-01-07,4.7,-0.7,2.7,-2.4,2.4,3.6,199.7,82.4,1015.4,1.8,7.1,0.0122,11
2011-01-08,5.1,1.8,3.3,0.5,3.6,3.8,206.5,94.3,1016.2,4.9,5,0.0000,6
2011-01-09,6.4,0.9,2.9,-1.8,3.8,2.9,187.5,95.6,1016.4,0.3,4.8,0.1687,4
2011-01-10,4.2,0.5,1.5,-1.8,2.6,2.5,169.8,97.4,1023.1,1.2,3.4,0.0000,3
2011-01-11,2.6,0.1,0.8,-0.2,1.7,1.6,141,98.4,1016.9,0,1.1,0.0000,3
2011-01-12,4.8,-1.6,2.8,-1.5,3.2,4.5,209.3,90.4,1015.8,7.1,10.5,0.0595,0
2011-01-13,5.4,0.8,3.7,-0.8,4.4,2.9,180.5,93,1012.5,1.7,9.1,0.0000,0
2011-01-14,8.9,3.9,7.3,2.3,8.1,3.1,185,94.8,1012.7,2.7,16.1,0.0000,0
2011-01-15,9.2,5.4,7.1,4.1,7.1,5.3,270.7,85.8,1018.8,0.5,26.3,0.0588,0
2011-01-16,8.8,2,3.9,-0.6,6.1,2.1,173.9,91.5,1027.5,0.1,6.3,0.2471,0
2011-01-17,6.5,-1.6,1.3,-4.3,4.2,2.3,147.1,96.3,1026.8,0,1.9,0.5233,0
2011-01-18,4.1,-0.5,1.6,-3.2,2.6,2.3,147.9,96.8,1024.5,0,3.3,0.1628,0
2011-01-19,6.9,1.1,2.3,-0.1,4.4,4,247.2,95.4,1022.6,2.3,5.6,0.1047,0
2011-01-20,1.3,-0.3,0.4,-0.3,0.5,3.1,339.5,93,1024.5,0.1,6,0.0000,0
2011-01-21,0.0,-2.3,-1.3,-2.1,-1,4.5,341,89.3,1029.9,0,10,0.0115,0
2011-01-22,-1.3,-2.1,-2.1,-2.2,-2.4,3.5,236.1,90.3,1030.3,0,6.9,0.0000,0
2011-01-23,-0.4,-4.4,-2,-4.7,-1.3,3.8,281,88.4,1022.1,0.5,11.1,0.0000,0
2011-01-24,-1.2,-3.5,-3.3,-4,-2.9,2.9,304.7,84.1,1021.8,0.1,9.6,0.0000,1
2011-01-25,-0.1,-8.9,-2.9,-11.1,-1.7,3.9,182.3,86.3,1012.5,0.1,7.8,0.0000,1
2011-01-26,0.3,-1.6,-0.6,-2.6,-0.6,3,218.4,92.1,1008.1,1,6.8,0.0000,1
2011-01-27,2.3,-5,-1.3,-7.1,-0.9,0.9,161,89.6,1018.8,0,3.7,0.6333,2
2011-01-28,0.1,-7.8,-4.9,-9.8,-1.8,1.6,155.3,94.1,1028.6,0,1.2,0.0000,2
2011-01-29,-1.4,-9.6,-6,-11.9,-3.6,2.1,169.7,92.4,1026.5,0,2.5,0.5165,2
2011-01-30,-1.3,-10.6,-6.6,-13.2,-3.9,2.4,191.2,85,1023.7,0,4.1,0.7363,2
2011-01-31,-6.0,-10.9,-8.6,-12.9,-6.7,1.9,132.2,95.4,1027.4,0,0.9,0.1087,2
2011-02-01,-3.3,-10.8,-7.3,-12.7,-5.3,3,192.6,84.8,1027.1,0,4.4,0.8280,2
2011-02-02,-2.7,-9,-5.6,-12.3,-4,2.6,187.2,86.6,1028.1,0,3.5,0.0753,2
2011-02-03,1.2,-6.6,-1.9,-10.3,-0.8,3.4,198.7,87.4,1026.2,3.2,5.2,0.1915,2
2011-02-04,3.8,-3.4,0.9,-7,1.9,6.8,209,83.8,1024.3,0,9.1,0.2234,5
