DATE,TMAX,TMIN,TAVG,TGRD,WBT,WND,MSLP,PRCP,VSB,RSD,SD
2011-01-01,0.5,-6.7,-1.6,-10,-1.2,7,1015.1,0,8.6,4.1,12
2011-01-02,1.5,-6,-1.5,-11,-1.8,2.6,1016.3,0.4,10.9,1.8,11
2011-01-03,-1.2,-8,-4.6,-13,-2.9,2,1021.2,0.1,3.9,0,12
2011-01-04,-2.9,-16.1,-7.9,-17,-5.3,1.5,1023.5,0,4.9,3.5,12
2011-01-05,-3,-9.2,-4.2,-13,-4.8,6.9,1021.5,0,10.4,0.2,12
2011-01-06,2.6,-6.3,-1,-7,0.1,9.5,1014.6,0.1,10.1,1.2,10
2011-01-07,4.7,-0.7,2.7,-2,2.4,3.6,1015.4,1.8,7.8,0.1,11
2011-01-08,5.1,1.8,3.3,1,3.6,3.8,1016.2,4.9,4.2,0,6
2011-01-09,6.4,0.9,2.9,-2,3.8,2.9,1016.4,0.3,4.5,1.4,4
2011-01-10,4.2,0.5,1.5,-2,2.6,2.5,1023.1,1.2,3.7,0,3
2011-01-11,2.6,0.1,0.8,0,1.7,1.6,1016.9,0,1.1,0,3
2011-01-12,4.8,-1.6,2.8,-2,3.2,4.5,1015.8,6.5,9.9,0.5,0
2011-01-13,5.4,0.8,3.7,-1,4.4,2.9,1012.5,1.7,8.2,0,0
2011-01-14,8.9,3.9,7.3,2,8.1,3.1,1012.7,2.7,15.9,0,0
2011-01-15,9.2,5.4,7.1,6,7.1,5.2,1018.8,0.5,24.5,0.5,0
2011-01-16,8.8,2,3.9,0,6.1,2.1,1027.5,0.1,5.7,2.1,0
2011-01-17,6.5,-1.6,1.3,-4,4.2,2.2,1026.8,0,1.5,4.5,0
2011-01-18,4.1,-0.5,1.6,-3,2.6,2.2,1024.5,0,3.1,1.4,0
2011-01-19,6.9,1.1,2.3,0,4.4,4,1022.6,2.3,5.4,0.9,0
2011-01-20,1.3,-0.3,0.4,0,0.5,3.1,1024.5,0.1,6.2,0,0
2011-01-21,0,-2.3,-1.3,-1,-1,4.5,1029.9,0,10.4,0.1,0
2011-01-22,-1.3,-2.1,-2.1,-2,-2.4,3.5,1030.3,0,7.4,0,0.5
2011-01-23,-0.4,-4.4,-2,-5,-1.3,3.8,1022.1,0.5,11,0,0
2011-01-24,-1.2,-3.5,-3.3,-4,-2.9,2.9,1021.8,0.1,9.9,0,1
2011-01-25,-0.1,-8.9,-2.9,-11,-1.7,3.9,1012.5,0.1,8,0,1
2011-01-26,0.3,-1.6,-0.6,-3,-0.6,3,1008.1,1,6.8,0,1
2011-01-27,2.3,-5,-1.3,-7,-0.9,0.9,1018.8,0,4.4,5.7,2
2011-01-28,0.1,-7.8,-4.9,-10,-1.8,1.6,1028.6,0,1,0,2
2011-01-29,-1.4,-9.6,-6,-12,-3.6,2.1,1026.5,0,2.3,4.7,2
2011-01-30,-1.3,-10.6,-6.6,-13,-3.9,2.4,1023.7,0,4.4,6.7,2
2011-01-31,-6,-10.9,-8.6,-13,-6.7,1.9,1027.4,0,0.8,1,2
2011-02-01,-3.3,-10.8,-7.3,-13,-5.3,3,1027.1,0,4.3,7.7,2
2011-02-02,-2.7,-9,-5.6,-12,-4,2.6,1028.1,0,3.4,0.7,2
2011-02-03,1.2,-6.6,-1.9,-10,-0.8,3.4,1026.2,3.2,4.9,1.8,2
2011-02-04,3.8,-3.4,0.9,-7,1.9,6.8,1024.3,0,9,2.1,5
2011-02-05,8.1,3.1,5.8,2,5,7.6,1018.5,0,27,0,0
2011-02-06,9.2,5.8,7.3,5,6.6,8.1,1020.6,0,34.5,0,0
2011-02-07,9.9,0.7,4.5,-3,6.1,2.2,1021.4,0,9.6,7.4,0
2011-02-08,9.2,2.1,4.7,-1,5.3,4.2,1018.5,0,26.4,3,0
2011-02-09,5.4,-1.2,1.7,-5,1.9,2.6,1024.5,0,12.9,8.4,0
2011-02-10,6.5,-1.8,1.9,-5,1.9,3.5,1023.6,0.6,8.7,7.3,0
2011-02-11,8.2,2.2,5,0,6.5,5.6,1009.7,3.8,9.3,0,0
2011-02-12,6.4,-1.9,-0.5,-1,1.9,6.1,1018.2,0,27.3,7.8,0
2011-02-13,0.5,-5.3,-2,-6,-2.1,1.9,1020.3,0,4.7,1.2,0
2011-02-14,0,-3.5,-2.4,-3,-4.1,2.6,1018.4,0,9.1,0.5,0
2011-02-15,0.8,-8.6,-4.4,-9,-3.5,2.1,1014.5,0,6.5,6.8,0
2011-02-16,-1,-4.3,-2.7,-4,-2.7,2,1010.5,0,5.1,0,0
2011-02-17,3.7,-2.7,0.3,-5,0.9,0.9,1008.8,0.7,2.9,0,0
2011-02-18,2.2,-0.4,0.4,-1,1.2,2.4,1013.8,0.3,1.2,0,0.5
2011-02-19,0.1,-2.2,-1.7,-2,-0.9,4.8,1018.5,0,2,0,0.5
2011-02-20,-2.2,-8.2,-7.2,-7,-5.2,4.9,1022.4,0,6.2,0.3,1
2011-02-21,-7.5,-10.7,-9.2,-11,-9.4,3.6,1024.2,0,5.9,1,1
2011-02-22,-7.9,-11.8,-9.6,-12,-9.5,3.2,1021.7,0,4.6,2.4,1
2011-02-23,-7.4,-11.6,-9.7,-11,-9.4,3.9,1029.5,0,4.7,1.5,1
2011-02-24,-4.7,-13.2,-8.7,-16,-6.7,2,1032.7,0,2.6,5.5,1
2011-02-25,-2.9,-10.9,-6.9,-11,-5.5,3.5,1034.5,0,4.4,4.1,1
2011-02-26,-0.8,-5.8,-4,-6,-3.2,2.4,1027.9,0,4.2,3.6,1
2011-02-27,5.8,-7,-1.2,-8,2.4,2.1,1019.5,0,2.8,5.7,0
2011-02-28,3.2,-5.3,-1.8,-6,-1,2.4,1027.4,0,4.7,8.3,0
,,,,,,,,0,,,0
2011-03-01,,,,-8,-0.7,2.5,1035.8,0,8,8.6,0
